T,c,SMA 7,sav gol,Pos Crossing,Neg Crossing
1655223899999,22605.67000000,22622.51714285714,22646.38072463763,False,False
1655223959999,22649.94000000,22622.254285714287,22653.961161352607,False,False
1655224019999,22638.92000000,22617.338571428572,22661.273487922652,False,False
1655224079999,22637.71000000,22620.407142857144,22659.066185507196,False,False
1655224139999,22672.05000000,22630.954285714284,22656.353959420238,False,False
1655224199999,22675.35000000,22641.447142857138,22649.09733913038,False,False
1655224259999,22723.12000000,22657.53714285714,22641.199397101398,False,True
1655224319999,22669.92000000,22666.71571428571,22636.133335265647,False,False
1655224379999,22615.37000000,22661.777142857143,22631.873514975792,False,False
1655224439999,22652.63000000,22663.735714285714,22626.264728502363,False,False
1655224499999,22662.35000000,22667.255714285715,22616.269060869512,False,False
1655224559999,22615.37000000,22659.15857142857,22602.307592270477,False,False
1655224619999,22545.19000000,22640.56428571429,22585.85904347821,False,False
1655224679999,22519.19000000,22611.43142857143,22566.846266666616,False,False
1655224739999,22481.36000000,22584.494285714285,22551.18399227048,False,False
1655224799999,22511.29000000,22569.625714285714,22534.147275362266,False,False
1655224859999,22506.16000000,22548.70142857143,22518.651304347775,False,False
1655224919999,22542.92000000,22531.639999999996,22506.50290628014,False,False
1655224979999,22540.18000000,22520.89857142857,22495.148718840526,False,False
1655225039999,22508.87000000,22515.709999999995,22487.25039420285,False,False
1655225099999,22502.22000000,22513.285714285714,22480.28090048304,False,False
1655225159999,22436.27000000,22506.844285714287,22474.841789371927,False,False
1655225219999,22437.18000000,22496.257142857143,22474.024123671443,False,False
1655225279999,22459.80000000,22489.634285714284,22476.97972560381,False,False
1655225339999,22478.12000000,22480.377142857145,22478.613945893667,False,False
1655225399999,22496.51000000,22474.13857142857,22481.398307246323,True,False
1655225459999,22478.28000000,22469.76857142857,22484.450767149705,False,False
1655225519999,22493.74000000,22468.557142857142,22482.726388405743,False,False
1655225579999,22472.16000000,22473.684285714284,22480.3475439613,False,False
1655225639999,22462.02000000,22477.23285714286,22478.001323671448,False,False
1655225699999,22477.99000000,22479.83142857143,22479.01135652169,False,True
1655225759999,22523.28000000,22486.282857142854,22481.617493719757,False,False
1655225819999,22523.28000000,22490.10714285714,22481.33765217386,False,False
1655225879999,22488.47000000,22491.562857142857,22483.143885990285,False,False
1655225939999,22488.47000000,22490.809999999998,22485.109663768064,False,False
1655225999999,22489.57000000,22493.297142857144,22487.33711111106,False,False
1655226059999,22522.34000000,22501.914285714283,22490.362115941974,False,False
1655226119999,22466.55000000,22500.280000000002,22496.609741062748,False,False
1655226179999,22435.68000000,22487.765714285717,22506.736647342943,True,False
1655226239999,22465.53000000,22479.515714285717,22514.425406763232,False,False
1655226299999,22508.98000000,22482.445714285714,22521.49115942024,False,False
1655226359999,22522.34000000,22487.284285714286,22527.93463381637,False,False
1655226419999,22533.73000000,22493.592857142856,22537.924850241496,False,False
1655226479999,22546.26000000,22497.010000000002,22547.017283091736,False,False
1655226539999,22612.38000000,22517.84285714286,22560.23604830913,False,False
1655226599999,22626.75000000,22545.13857142857,22573.793580676276,False,False
1655226659999,22590.82000000,22563.03714285714,22581.78997874391,False,False
1655226719999,22596.25000000,22575.504285714287,22589.69756328497,False,False
1655226779999,22620.00000000,22589.455714285716,22597.209468598983,False,False
1655226839999,22604.30000000,22599.537142857145,22609.72595748787,False,False
1655226899999,22571.58000000,22603.154285714285,22619.307323671444,False,False
1655226959999,22603.32000000,22601.859999999997,22623.697572946807,False,False
1655227019999,22650.00000000,22605.181428571428,22628.262401932312,False,False
1655227079999,22665.85000000,22615.9,22633.43692753618,False,False
1655227139999,22603.03000000,22616.868571428575,22637.084883091735,False,False
1655227199999,22628.51000000,22618.084285714285,22639.1484618357,False,False
1655227259999,22609.56000000,22618.83571428571,22639.70366570043,False,False
1655227319999,22610.02000000,22624.327142857142,22645.700318840525,False,False
1655227379999,22675.95000000,22634.702857142856,22656.926823188354,False,False
1655227439999,22689.92000000,22640.405714285713,22665.489913043424,False,False
1655227499999,22710.75000000,22646.82,22671.484749758398,False,False
1655227559999,22670.53000000,22656.462857142855,22679.24596521734,False,False
1655227619999,22650.86000000,22659.655714285716,22678.912888888837,False,False
1655227679999,22670.00000000,22668.290000000005,22674.943368115888,False,False
1655227739999,22655.05000000,22674.722857142857,22668.020827053086,False,True
1655227799999,22651.39000000,22671.214285714283,22659.195482125553,False,False
1655227859999,22660.50000000,22667.011428571426,22650.50648888884,False,False
1655227919999,22673.49000000,22661.68857142857,22636.32211980671,False,False
1655227979999,22693.15000000,22664.920000000002,22618.23701835744,False,False
1655228039999,22660.82000000,22666.34285714286,22594.463615458884,False,False
1655228099999,22570.28000000,22652.097142857147,22571.493269565166,False,False
1655228159999,22530.64000000,22634.324285714283,22552.268633816373,False,False
