open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,Price Movement,SMA 7,EMA 7,SMA 25,sav gol,Pos Crossing,Neg Crossing
1654387500000,0.00127000,0.00127000,0.00127000,0.00127,1950616.00000000,1654387799999,2477.28232000,9,1950616.00000000,2477.28232000,0,0.0,0.0012671428571428573,0.0012670286913541702,0.001268,0.0012701487922705285,False,False
1654387800000,0.00127000,0.00127000,0.00127000,0.00127,3642895.00000000,1654388099999,4626.47665000,25,3485027.00000000,4425.98429000,0,0.0,0.001267142857142857,0.0012677715185156278,0.0012676,0.0012704347826086927,False,False
1654388100000,0.00127000,0.00128000,0.00127000,0.00127,700179.00000000,1654388399999,889.52348000,8,29615.00000000,37.90720000,0,0.0,0.001267142857142857,0.0012683286388867209,0.0012672,0.0012702859903381612,False,False
1654388400000,0.00127000,0.00127000,0.00127000,0.00127,11132.00000000,1654388699999,14.13764000,1,0.00000000,0.00000000,0,0.0,0.0012685714285714286,0.0012687464791650406,0.0012672,0.001269721739130432,False,False
1654388700000,0.00127000,0.00128000,0.00127000,0.00128,1368273.00000000,1654388999999,1751.26510000,6,1355839.00000000,1735.47392000,0,0.7812500000000019,0.0012714285714285714,0.0012715598593737805,0.0012672,0.0012687613526570019,False,True
1654389000000,0.00128000,0.00128000,0.00127000,0.00128,518399.00000000,1654389299999,661.53263000,4,316590.00000000,405.23520000,0,0.0,0.001272857142857143,0.0012736698945303353,0.0012672,0.0012674241545893692,False,False
1654389300000,0.00128000,0.00128000,0.00127000,0.00127,221922.00000000,1654389599999,283.85691000,2,201597.00000000,258.04416000,0,-0.7874015748031516,0.0012728571428571429,0.0012727524208977516,0.0012672,0.0012657294685990308,False,False
1654389600000,0.00127000,0.00127000,0.00126000,0.00126,5758222.00000000,1654389899999,7311.77007000,26,775478.00000000,984.85706000,0,-0.7936507936507957,0.0012714285714285716,0.0012695643156733136,0.0012664,0.0012644270531400937,False,False
1654389900000,0.00127000,0.00127000,0.00126000,0.00126,242899.00000000,1654390199999,306.24546000,4,19272.00000000,24.47544000,0,0.0,0.00127,0.001267173236754985,0.001266,0.0012630666666666637,False,False
1654390200000,0.00126000,0.00126000,0.00126000,0.00126,2478066.00000000,1654390499999,3122.36316000,16,0.00000000,0.00000000,0,0.0,0.0012685714285714286,0.0012653799275662387,0.0012660000000000002,0.0012609565217391275,False,False
1654390500000,0.00127000,0.00127000,0.00125000,0.00125,2477847.00000000,1654390799999,3109.44690000,27,527732.00000000,666.21964000,0,-0.800000000000002,0.0012657142857142856,0.0012615349456746791,0.0012656,0.0012586048309178716,False,False
1654390800000,0.00125000,0.00125000,0.00125000,0.00125,0.00000000,1654391099999,0.00000000,0,0.00000000,0.00000000,0,0.0,0.0012614285714285715,0.0012586512092560094,0.0012648000000000002,0.0012567613526570018,False,False
1654391100000,0.00125000,0.00126000,0.00125000,0.00126,10752602.00000000,1654391399999,13446.14620000,53,1597075.00000000,2001.73745000,0,0.7936507936507957,0.0012585714285714286,0.001258988406942007,0.0012644,0.0012549758454106252,False,False
1654391400000,0.00125000,0.00125000,0.00125000,0.00125,1083145.00000000,1654391699999,1353.93125000,3,0.00000000,0.00000000,0,-0.800000000000002,0.0012557142857142856,0.0012567413052065053,0.0012640000000000001,0.0012523091787439583,False,False
1654391700000,0.00125000,0.00126000,0.00125000,0.00125,3239960.00000000,1654391999999,4059.12232000,31,2009255.00000000,2520.74107000,0,0.0,0.0012542857142857143,0.001255055978904879,0.0012636,0.0012507111111111082,False,False
1654392000000,0.00125000,0.00125000,0.00125000,0.00125,181164.00000000,1654392299999,226.45500000,4,0.00000000,0.00000000,0,0.0,0.0012528571428571428,0.0012537919841786593,0.0012632,0.0012494705314009633,False,False
1654392300000,0.00125000,0.00126000,0.00125000,0.00125,1711837.00000000,1654392599999,2140.24614000,15,44989.00000000,56.68614000,0,0.0,0.0012514285714285715,0.0012528439881339946,0.0012628000000000001,0.0012486067632850213,False,False
1654392600000,0.00125000,0.00126000,0.00125000,0.00125,566499.00000000,1654392899999,708.87998000,8,75623.00000000,95.28498000,0,0.0,0.0012514285714285715,0.001252132991100496,0.0012624000000000001,0.0012483806763284996,False,False
1654392900000,0.00125000,0.00125000,0.00125000,0.00125,912317.00000000,1654393199999,1140.39625000,7,0.00000000,0.00000000,0,0.0,0.0012514285714285715,0.001251599743325372,0.001262,0.0012490531400966155,False,False
1654393200000,0.00125000,0.00125000,0.00125000,0.00125,506822.00000000,1654393499999,633.52750000,6,0.00000000,0.00000000,0,0.0,0.00125,0.001251199807494029,0.0012612,0.001249913043478258,False,False
1654393500000,0.00125000,0.00126000,0.00125000,0.00125,834291.00000000,1654393799999,1043.31504000,5,45129.00000000,56.86254000,0,0.0,0.00125,0.001250899855620522,0.0012604,0.0012507188405797072,True,False
1654393800000,0.00125000,0.00125000,0.00125000,0.00125,2788127.00000000,1654394099999,3485.15875000,20,958065.00000000,1197.58125000,0,0.0,0.00125,0.0012506748917153914,0.00126,0.0012519400966183546,False,False
1654394100000,0.00125000,0.00126000,0.00125000,0.00125,1518073.00000000,1654394399999,1897.74996000,21,1008152.00000000,1260.34871000,0,0.0,0.00125,0.0012505061687865435,0.0012596000000000003,0.0012530685990338136,False,False
1654394400000,0.00125000,0.00125000,0.00124000,0.00125,6934859.00000000,1654394699999,8653.77154000,39,4590467.00000000,5738.08375000,0,0.0,0.00125,0.0012503796265899076,0.0012588000000000002,0.0012545545893719778,False,False
1654394700000,0.00126000,0.00126000,0.00125000,0.00125,792542.00000000,1654394999999,998.52084000,13,784334.00000000,988.26084000,0,0.0,0.00125,0.0012502847199424307,0.0012580000000000002,0.0012556289855072433,False,False
1654395000000,0.00126000,0.00127000,0.00126000,0.00127,6668829.00000000,1654395299999,8408.68797000,42,6668829.00000000,8408.68797000,0,1.5748031496063033,0.0012528571428571428,0.001255213539956823,0.0012580000000000002,0.0012576946859903352,False,False
1654395300000,0.00126000,0.00126000,0.00126000,0.00126,15909.00000000,1654395599999,20.04534000,1,0.00000000,0.00000000,0,-0.7936507936507957,0.0012542857142857145,0.0012564101549676172,0.0012576000000000002,0.0012599826086956492,False,False
1654395600000,0.00127000,0.00127000,0.00126000,0.00126,228125.00000000,1654395899999,289.03978000,8,160228.00000000,203.48956000,0,0.0,0.0012557142857142858,0.0012573076162257129,0.0012572,0.0012617236714975815,False,False
1654395900000,0.00126000,0.00126000,0.00126000,0.00126,16410.00000000,1654396199999,20.67660000,1,0.00000000,0.00000000,0,0.0,0.0012571428571428573,0.0012579807121692846,0.0012568000000000002,0.0012640792270531373,False,False
1654396200000,0.00126000,0.00127000,0.00126000,0.00127,7149288.00000000,1654396499999,9077.83706000,33,6145599.00000000,7804.91073000,0,0.7874015748031516,0.00126,0.0012609855341269634,0.0012564,0.0012662801932367123,False,False
1654396500000,0.00128000,0.00128000,0.00126000,0.00127,5239145.00000000,1654396799999,6656.60013000,42,1190127.00000000,1515.80136000,0,0.0,0.001262857142857143,0.0012632391505952227,0.0012560000000000002,0.0012682879227053111,False,False
1654396800000,0.00126000,0.00127000,0.00126000,0.00127,148328.00000000,1654397099999,187.47656000,3,58328.00000000,74.07656000,0,0.0,0.0012657142857142856,0.001264929362946417,0.0012560000000000002,0.0012700637681159392,False,False
1654397100000,0.00127000,0.00127000,0.00126000,0.00127,2062198.00000000,1654397399999,2618.73729000,20,1689664.00000000,2145.87328000,0,0.0,0.0012657142857142856,0.0012661970222098127,0.0012564,0.001271080193236712,False,False
1654397400000,0.00127000,0.00128000,0.00127000,0.00127,11900848.00000000,1654397699999,15116.32529000,38,1733181.00000000,2203.38820000,0,0.0,0.0012671428571428573,0.0012671477666573595,0.0012568000000000002,0.0012724985507246347,False,False
1654397700000,0.00128000,0.00128000,0.00128000,0.00128,184610.00000000,1654397999999,236.30080000,1,184610.00000000,236.30080000,0,0.7812500000000019,0.00127,0.0012703608249930195,0.0012576000000000002,0.0012735497584541032,False,False
1654398000000,0.00127000,0.00127000,0.00126000,0.00127,4688199.00000000,1654398299999,5953.14277000,37,1909647.00000000,2425.25169000,0,-0.7874015748031516,0.0012714285714285714,0.0012702706187447646,0.0012584,0.0012741951690821228,False,False
1654398300000,0.00128000,0.00128000,0.00128000,0.00128,28470.00000000,1654398599999,36.44160000,1,28470.00000000,36.44160000,0,0.7812500000000019,0.0012728571428571429,0.0012727029640585735,0.0012596000000000003,0.0012743961352656976,False,False
1654398600000,0.00128000,0.00128000,0.00127000,0.00128,2646806.00000000,1654398899999,3384.92137000,8,2347775.00000000,3005.15200000,0,0.0,0.0012742857142857143,0.0012745272230439302,0.0012604,0.0012746028985507218,False,False
1654398900000,0.00128000,0.00128000,0.00127000,0.00127,91253.00000000,1654399199999,116.52882000,4,63751.00000000,81.60128000,0,-0.7874015748031516,0.0012742857142857143,0.0012733954172829476,0.0012612,0.0012750376811594174,False,False
