T,c,SMA 7,sav gol,Pos Crossing,Neg Crossing
1655071919999,27415.24000000,27323.19428571429,27349.995006763224,False,False
1655071979999,27403.75000000,27343.73285714286,27366.676685990275,False,False
1655072039999,27378.87000000,27363.354285714286,27376.075543961288,False,False
1655072099999,27367.87000000,27370.051428571427,27375.210264734236,False,False
1655072159999,27406.78000000,27379.14285714286,27372.155358454045,False,True
1655072219999,27385.26000000,27387.037142857145,27368.843118840516,False,False
1655072279999,27385.40000000,27391.881428571425,27365.184417391243,False,False
1655072339999,27347.64000000,27382.22428571429,27358.888801932306,False,False
1655072399999,27294.48000000,27366.614285714284,27345.77459130428,False,False
1655072459999,27260.79000000,27349.745714285713,27332.923957487856,False,False
1655072519999,27305.67000000,27340.860000000004,27319.842929468534,False,False
1655072579999,27328.50000000,27329.67714285714,27305.621014492688,False,False
1655072639999,27292.04000000,27316.359999999997,27292.52631304341,False,False
1655072699999,27300.01000000,27304.161428571428,27283.51457198061,False,False
1655072759999,27308.14000000,27298.51857142857,27274.485914975783,False,False
1655072819999,27311.53000000,27300.954285714284,27265.585493719744,False,False
1655072879999,27252.00000000,27299.69857142857,27258.286415458875,False,False
1655072939999,27207.82000000,27285.719999999998,27254.77020676322,False,False
1655072999999,27229.97000000,27271.644285714283,27249.334685990274,False,False
1655073059999,27191.25000000,27257.245714285713,27246.1503903381,False,False
1655073119999,27211.45000000,27244.594285714287,27235.718351690757,False,False
1655073179999,27235.15000000,27234.167142857146,27221.279899516845,False,False
1655073239999,27237.68000000,27223.617142857143,27200.26210048303,False,False
1655073299999,27222.47000000,27219.398571428574,27184.140285990274,False,False
1655073359999,27202.85000000,27218.68857142857,27171.87134299511,False,False
1655073419999,27192.71000000,27213.365714285716,27158.256504347763,False,False
1655073479999,27189.30000000,27213.087142857144,27145.93802898544,False,False
1655073539999,27164.03000000,27206.312857142857,27136.471337198003,False,False
1655073599999,27113.08000000,27188.874285714286,27132.003153623125,False,False
1655073659999,27071.54000000,27165.140000000003,27127.662490821196,False,False
1655073719999,27068.30000000,27143.115714285716,27129.130597101386,False,False
1655073779999,27012.41000000,27115.91,27124.48323285018,True,False
1655073839999,27081.39000000,27100.007142857146,27114.482388405733,False,False
1655073899999,27087.01000000,27085.394285714283,27109.19859516902,False,False
1655073959999,27159.06000000,27084.684285714284,27104.535041545827,False,False
1655074019999,27136.75000000,27088.065714285713,27103.54593429945,False,False
1655074079999,27120.66000000,27095.082857142854,27103.35420289849,False,False
1655074139999,27133.87000000,27104.45,27101.509344927472,False,True
1655074199999,27154.18000000,27124.70285714286,27094.317891787377,False,False
1655074259999,27162.65000000,27136.31142857143,27093.06668212554,False,False
1655074319999,27134.08000000,27143.035714285714,27094.18387053134,False,False
1655074379999,27105.71000000,27135.41428571429,27093.57022222216,False,False
1655074439999,26946.42000000,27108.22428571429,27088.08763091781,False,False
1655074499999,27039.94000000,27096.692857142858,27080.0402666666,False,False
1655074559999,27091.59000000,27090.652857142857,27066.333105313948,False,False
1655074619999,27035.61000000,27073.714285714286,27054.699051207666,False,False
1655074679999,27057.93000000,27058.754285714287,27040.730780676266,False,False
1655074739999,27015.89000000,27041.87,27033.132745893658,False,False
1655074799999,26995.44000000,27026.11714285714,27024.342469565152,False,False
1655074859999,27009.88000000,27035.182857142856,27017.237536231823,False,False
1655074919999,27119.10000000,27046.49142857143,27012.504419323606,False,False
1655074979999,27059.37000000,27041.88857142857,27014.33130434776,False,False
1655075039999,27013.98000000,27038.79857142857,27022.055974879167,False,False
1655075099999,26985.09000000,27028.39285714286,27033.589723671437,True,False
1655075159999,27000.06000000,27026.13142857143,27047.17007149752,False,False
1655075219999,27014.82000000,27028.9,27049.45098550718,False,False
1655075279999,27022.03000000,27030.635714285716,27057.76311884052,False,False
1655075339999,27033.20000000,27018.364285714284,27068.862738164185,False,False
1655075399999,27081.36000000,27021.505714285715,27079.78789758448,False,False
